x (cm),y (cm),voltage (V)
-10,7,4.3
-9.5,7,4.3
-9,7,4.4
-8.5,7,4.4
-8,7,4.5
-7.5,7,4.7
-7,7,4.5
-6.5,7,4.5
-6,7,4.55
-5.5,7,4.6
-5,7,4.65
-4.5,7,4.7
-4,7,4.75
-3.5,7,4.8
-3,7,4.87
-2.5,7,5
-2,7,5.1
-1.5,7,5.2
-1,7,5.4
-0.5,7,5.5
0,7,5.65
0.5,7,5.5
1,7,5.3
1.5,7,5.2
2,7,5.05
2.5,7,4.95
3,7,4.85
3.5,7,4.77
4,7,4.7
4.5,7,4.6
5,7,4.6
5.5,7,4.55
6,7,4.5
6.5,7,4.5
7,7,4.5
7.5,7,4.45
8,7,4.4
8.5,7,4.4
9,7,4.4
9.5,7,4.38
10,7,4.35
-10,0,3.82
-9.5,0,3.78
-9,0,3.74
-8.5,0,3.76
-8,0,3.74
-7.5,0,3.72
-7,0,3.75
-6.5,0,3.75
-6,0,3.7
-5.5,0,3.73
-5,0,3.73
-4.5,0,3.75
-4,0,3.73
-3.5,0,3.73
-3,0,3.7
-2.5,0,3.7
-2,0,3.7
-1.5,0,3.69
-1,0,3.71
-0.5,0,3.74
0,0,3.75
0.5,0,3.75
1,0,3.74
1.5,0,3.75
2,0,3.75
2.5,0,3.74
3,0,3.76
3.5,0,3.76
4,0,3.77
4.5,0,3.78
5,0,3.78
5.5,0,3.76
6,0,3.76
6.5,0,3.8
7,0,3.8
7.5,0,3.8
8,0,3.77
8.5,0,3.77
9,0,3.77
9.5,0,3.78
10,0,3.8
-10,6,4.4
-9.5,6,4.4
-9,6,4.42
-8.5,6,4.42
-8,6,4.5
-7.5,6,4.5
-7,6,4.5
-6.5,6,4.5
-6,6,4.56
-5.5,6,4.6
-5,6,4.63
-4.5,6,4.67
-4,6,4.7
-3.5,6,4.78
-3,6,4.87
-2.5,6,4.95
-2,6,5
-1.5,6,5.15
-1,6,5.25
-0.5,6,5.2
0,6,5.1
0.5,6,5
1,6,4.95
1.5,6,4.88
2,6,4.8
2.5,6,4.75
3,6,4.7
3.5,6,4.65
4,6,4.6
4.5,6,4.55
5,6,4.55
5.5,6,4.55
6,6,4.48
6.5,6,4.48
7,6,4.49
7.5,6,4.45
8,6,4.45
8.5,6,4.4
9,6,4.4
-10,5,4.45
-9.5,5,4.45
-9,5,4.45
-8.5,5,4.45
-8,5,4.7
-7.5,5,4.48
-7,5,4.5
-6.5,5,4.5
-6,5,4.52
-5.5,5,4.53
-5,5,4.6
-4.5,5,4.63
-4,5,4.65
-3.5,5,4.7
-3,5,4.7
-2.5,5,4.8
-2,5,4.82
-1.5,5,4.85
-1,5,4.9
-0.5,5,4.9
0,5,4.95
0.5,5,4.9
1,5,4.9
1.5,5,4.87
2,5,4.83
2.5,5,4.78
3,5,4.72
3.5,5,4.65
4,5,4.61
4.5,5,4.6
5,5,4.6
5.5,5,4.55
6,5,4.52
6.5,5,4.5
7,5,4.47
7.5,5,4.46
8,5,4.45
8.5,5,4.4
9,5,4.39
9.5,5,4.38
10,5,4.38
-10,4,3.9
-9.5,4,3.8
-9,4,3.89
-8.5,4,3.89
-8,4,3.89
-7.5,4,3.89
-7,4,3.9
-6.5,4,3.91
-6,4,3.92
-5.5,4,3.95
-5,4,3.96
-4.5,4,3.97
-4,4,4
-3.5,4,4.01
-3,4,4.13
-2.5,4,4.18
-2,4,4.15
-1.5,4,4.12
-1,4,4.2
-0.5,4,4.26
0,4,4.2
0.5,4,4.18
1,4,4.15
1.5,4,4.12
2,4,4.1
2.5,4,4.06
3,4,4.03
3.5,4,4
4,4,3.96
4.5,4,3.93
5,4,3.91
5.5,4,3.88
6,4,3.85
6.5,4,3.84
7,4,3.82
7.5,4,3.8
8,4,3.78
8.5,4,3.77
9,4,3.75
9.5,4,3.74
10,4,3.74
-10,3,3.77
-9.5,3,3.78
-9,3,3.78
-8.5,3,3.78
-8,3,3.79
-7.5,3,3.79
-7,3,3.8
-6.5,3,3.8
-6,3,3.81
-5.5,3,3.83
-5,3,3.84
-4.5,3,3.85
-4,3,3.86
-3.5,3,3.88
-3,3,3.9
-2.5,3,3.92
-2,3,3.92
-1.5,3,3.94
-1,3,3.95
-0.5,3,4
0,3,4.01
0.5,3,4
1,3,3.96
1.5,3,4.05
2,3,4.1
2.5,3,4.06
3,3,4.04
3.5,3,4
4,3,3.98
4.5,3,3.96
5,3,3.97
5.5,3,3.98
6,3,3.95
6.5,3,3.9
7,3,3.88
7.5,3,3.86
8,3,3.85
8.5,3,3.84
9,3,3.83
9.5,3,3.83
10,3,3.83
-10,2,3.74
-9.5,2,3.74
-9,2,3.75
-8.5,2,3.76
-8,2,3.76
-7.5,2,3.77
-7,2,3.78
-6.5,2,3.79
-6,2,3.8
-5.5,2,3.81
-5,2,3.81
-4.5,2,3.83
-4,2,3.84
-3.5,2,3.85
-3,2,3.87
-2.5,2,3.88
-2,2,3.9
-1.5,2,3.91
-1,2,3.92
-0.5,2,3.93
0,2,3.95
0.5,2,3.94
1,2,3.96
1.5,2,3.93
2,2,3.94
2.5,2,3.92
3,2,3.9
3.5,2,3.92
4,2,3.9
4.5,2,3.9
5,2,3.88
5.5,2,3.87
6,2,3.85
6.5,2,3.85
7,2,3.84
7.5,2,3.83
8,2,3.82
8.5,2,3.82
9,2,3.81
9.5,2,3.84
10,2,3.84
-10,1,3.75
-9.5,1,3.76
-9,1,3.76
-8.5,1,3.76
-8,1,3.74
-7.5,1,3.74
-7,1,3.75
-6.5,1,3.75
-6,1,3.75
-5.5,1,3.76
-5,1,3.76
-4.5,1,3.77
-4,1,3.78
-3.5,1,3.78
-3,1,3.79
-2.5,1,3.8
-2,1,3.81
-1.5,1,3.8
-1,1,3.82
-0.5,1,3.83
0,1,3.84
0.5,1,3.88
1,1,3.87
1.5,1,3.86
2,1,3.88
2.5,1,3.87
3,1,3.85
3.5,1,3.84
4,1,3.84
4.5,1,3.85
5,1,3.84
5.5,1,3.83
6,1,3.82
6.5,1,3.8
7,1,3.79
7.5,1,3.77
8,1,3.76
8.5,1,3.75
9,1,3.75
9.5,1,3.74
10,1,3.8
