DistanceX (cm),DistanceY (cm),Voltage (V)
0,10,5.3
0,9.5,5.21
0,9,5.05
0,8.5,4.82
0,8,4.66
0,7.5,4.52
0,7,4.41
0,6.5,4.32
0,6,4.23
0,5.5,4.15
0,5,4.03
0,4.5,3.95
0,4,3.88
0,3.5,3.81
0,3,3.72
0,2.5,3.63
0,2,3.55
0,1.5,3.43
0,1,3.33
0,0.5,3.23
0,0,3.1
5,5,4.35
4.5,5,4.53
4,5,4.56
3.5,5,4.57
3,5,4.62
2.5,5,4.61
2,5,4.63
1.5,5,4.61
1,5,4.6
0.5,5,4.59
5,3,4.46
4.5,3,4.43
4,3,4.4
3.5,3,4.4
3,3,4.36
2.5,3,4.32
2,3,4.27
1.5,3,4.23
1,3,4.17
0.5,3,4.15
5,1,4.29
4.5,1,4.25
4,1,4.19
3.5,1,4.13
3,1,4.09
2.5,1,4
2,1,3.92
1.5,1,3.81
1,1,3.7
0.5,1,3.59
