,,,
,X,Y,V
,-10,0,4.25
,-10,5,4.6
,-8,5,4.66
,-6,5,4.8
,-4,5,4.95
,-2,5,5.09
,0,5,5.23
,-10,3,4.62
,-8,3,4.75
,-6,3,4.9
,-4,3,5.02
,-2,3,5.15
,0,3,5.25
,-8,0,4.72
,-6,0,4.93
,-4,0,5.05
,-2,0,5.17
,0,0,5.3
,-10,-3,4.65
,-8,-3,4.75
,-6,-3,4.86
,-4,-3,5.01
,-2,-3,5.15
,0,-3,5.3
,-10,-5,4.83
,-8,-5,4.89
,-6,-5,4.98
,-4,-5,5.09
,-2,-5,5.2
,0,-5,5.35
,2,5,5.51
,4,5,5.61
,6,5,5.73
,8,5,5.85
,10,5,5.92
,2,3,5.5
,4,3,5.62
,6,3,5.76
,8,3,5.92
,10,3,6.05
,2,0,5.52
,4,0,5.66
,6,0,5.84
,8,0,6
,10,0,6.25
,2,-3,5.55
,4,-3,5.68
,6,-3,5.82
,8,-3,5.98
,10,-3,6.12
,2,-5,5.57
,4,-5,5.68
,6,-5,5.82
,8,-5,5.98
,10,-5,6.02
,-10,1,4.6
,-8,1,4.8
,-6,1,4.98
,-4,1,5.13
,-2,1,5.25
,0,1,5.36
,2,1,5.52
,4,1,5.66
,6,1,5.82
,8,1,6.03
,10,1,6.25
,-10,-1,4.6
,-8,-1,4.82
,-6,-1,5
,-4,-1,5.14
,-2,-1,5.3
,0,-1,5.42
,2,-1,5.59
,4,-1,5.71
,6,-1,5.88
,8,-1,6.09
,10,-1,6.33
,-5,5,5.12
,5,5,5.75
,5,-5,5.72
,-5,-5,5.13
,-1,1,5.38
,1,1,5.54
,1,-1,5.49
,-1,-1,5.33
