X,Y,V
9,0,6.89
8,0,5.73
7,0,5.64
6,0,5.6
5,0,5.56
4,0,5.52
3,0,5.47
2,0,5.35
1,0,5.24
0,0,5.15
-1,0,5.1
-2,0,5
-3,0,4.92
-4,0,4.82
-5,0,4.72
-6,0,4.59
-7,0,4.43
-8,0,4.28
-9,0,4.12
8.5,0,6.33
7.5,0,6.15
6.5,0,6.02
5.5,0,5.95
4.5,0,5.82
3.5,0,5.7
2.5,0,5.58
1.5,0,5.5
0.5,0,5.42
-0.5,0,5.32
-1.5,0,5.21
-2.5,0,5.11
-3.5,0,4.96
-4.5,0,4.76
-5.5,0,4.59
-6.5,0,4.46
-7.5,0,4.38
-8.5,0,4.18
0,1,4.61
0,2.5,4.55
0,0.5,4.56
0,1.5,4.55
0,2,4.55
0,3,4.55
0,3.5,4.54
0,4,4.55
0,5,4.52
0,4.5,4.51
0,5.5,4.53
0,-0.5,4.48
0,-1,4.48
0,-1.5,4.54
0,-2,4.38
0,-2.5,4.44
0,-3,4.43
0,-3.5,4.46
0,-4,4.42
0,-4.5,4.42
0,-5,4.45
0,-5.5,4.35
5,5,5.01
4,5,4.96
3,5,4.88
2,5,4.81
1,5,4.77
,,
-1,5,4.52
-2,5,4.5
-3,5,4.37
-4,5,4.58
-5,5,4.46
5,4,5.47
5,3,5.49
5,2,5.52
5,1,5.53
5,0,5.55
5,-1,5.55
5,-2,5.57
5,-3,5.58
5,-4,5.57
5,-5,5.56
-5,5,4.57
-5,4,4.57
-5,3,4.58
-5,2,4.57
-5,1,4.56
-5,-1,4.54
-5,-2,4.53
-5,-3,4.53
-5,-4,4.52
-5,-5,4.51
-4,-5,4.57
-3,-5,4.67
-2,-5,4.76
-1,-5,4.85
0,-5,4.97
1,-5,5.11
2,-5,5.21
3,-5,5.3
4,-5,5.39
